sequence	hmm_pred	pssm_pred	definitive_pred
arenatus_DN40589_c0_g1_i1_frame=5	A	A	A
arenatus_DN43773_c0_g1_i1_frame=6	I2	O1	CONFLICT I2 and O1
arenatus_DN43773_c0_g1_i2_frame=6	I2	O1	CONFLICT I2 and O1
arenatus_DN43773_c0_g2_i1_frame=6	I2	CONFLICT A and M	I2
arenatus_DN44967_c0_g1_i1_frame=5	M	M	M
arenatus_DN46573_c0_g1_i1_frame=4	M	M	M
arenatus_DN46573_c0_g1_i2_frame=4	M	M	M
arenatus_DN48767_c0_g1_i1_frame=6	L	CONFLICT L and M	L
arenatus_DN49686_c0_g2_i1_frame=6	S	CONFLICT M and O1	S
arenatus_DN49686_c0_g2_i2_frame=5	S	CONFLICT M and O1	S
arenatus_DN49649_c0_g1_i1_frame=6	M	CONFLICT M and O1	M
arenatus_DN49649_c0_g1_i2_frame=6	M	CONFLICT M and O1	M
arenatus_DN49755_c0_g1_i1_frame=5	I3	CONFLICT I3 and O1	I3
arenatus_DN49755_c0_g1_i2_frame=4	I3	CONFLICT O1 and O2	I3
arenatus_DN49755_c0_g2_i4_frame=4	I3	O1	CONFLICT I3 and O1
arenatus_DN49727_c0_g2_i1_frame=6	S	M	CONFLICT S and M
arenatus_DN49871_c2_g2_i1_frame=4	O2	O2	O2
arenatus_DN49871_c2_g2_i2_frame=4	O2	O2	O2
arenatus_DN49871_c2_g2_i3_frame=6	O2	O2	O2
arenatus_DN49878_c0_g1_i1_frame=4	O2	O2	O2
arenatus_DN49944_c0_g1_i1_frame=5	O1	O1	O1
arenatus_DN49944_c3_g1_i1_frame=5	O1	O1	O1
arenatus_DN49944_c3_g1_i2_frame=5	O1	O1	O1
arenatus_DN49944_c3_g3_i1_frame=6	O1	CONFLICT O1 and O2	O1
arenatus_DN49944_c3_g2_i2_frame=6	O1	CONFLICT M and O1	O1
arenatus_DN49944_c3_g1_i3_frame=4	O1	O1	O1
arenatus_DN49944_c3_g2_i3_frame=6	O1	CONFLICT M and O1	O1
arenatus_DN49944_c3_g2_i4_frame=4	O1	CONFLICT M and O1	O1
arenatus_DN49944_c3_g1_i4_frame=4	O1	O1	O1
arenatus_DN49944_c3_g5_i1_frame=6	O1	O1	O1
arenatus_DN49944_c3_g3_i2_frame=6	O1	CONFLICT O1 and O2	O1
arenatus_DN49955_c3_g3_i1_frame=4	M	M	M
arenatus_DN49955_c3_g3_i2_frame=4	M	M	M
arenatus_DN50297_c5_g1_i1_frame=5	M	M	M
arenatus_DN50297_c5_g2_i1_frame=5	M	M	M
arenatus_DN50297_c5_g2_i2_frame=5	M	M	M
arenatus_DN50297_c5_g2_i4_frame=5	M	M	M
arenatus_DN50297_c5_g2_i5_frame=5	M	M	M
arenatus_DN50297_c5_g2_i6_frame=5	M	M	M
arenatus_DN50400_c6_g1_i2_frame=4	T	T	T
arenatus_DN50400_c6_g1_i4_frame=5	T	CONFLICT O1 and T	T
arenatus_DN50400_c6_g3_i1_frame=4	T	T	T
arenatus_DN50400_c6_g4_i1_frame=4	T	T	T
arenatus_DN50400_c6_g1_i6_frame=6	T	CONFLICT A and T	T
arenatus_DN50400_c6_g1_i7_frame=5	T	T	T
arenatus_DN50558_c6_g2_i1_frame=6	O1	O1	O1
arenatus_DN50513_c9_g1_i1_frame=4	M	M	M
arenatus_DN50513_c9_g1_i2_frame=6	M	M	M
arenatus_DN50513_c12_g1_i1_frame=6	M	M	M
arenatus_DN50513_c14_g1_i1_frame=6	M	M	M
arenatus_DN50745_c6_g1_i1_frame=6	O2	O2	O2
arenatus_DN50745_c6_g1_i2_frame=4	O2	O2	O2
arenatus_DN50745_c6_g1_i3_frame=4	O2	O2	O2
arenatus_DN50745_c6_g1_i4_frame=6	O2	O2	O2
arenatus_DN50745_c6_g1_i5_frame=6	O2	O2	O2
arenatus_DN50745_c6_g1_i6_frame=4	O2	O2	O2
arenatus_DN50745_c6_g1_i7_frame=6	O2	O2	O2
arenatus_DN50745_c6_g1_i8_frame=4	O2	O2	O2
arenatus_DN50745_c6_g1_i9_frame=4	O2	O2	O2
arenatus_DN50712_c0_g2_i1_frame=4	A	A	A
arenatus_DN50712_c0_g2_i3_frame=6	A	A	A
arenatus_DN50712_c0_g2_i4_frame=6	A	A	A
arenatus_DN50727_c5_g2_i5_frame=6	O3	O1	CONFLICT O3 and O1
arenatus_DN50727_c5_g2_i6_frame=6	O3	O3	O3
arenatus_DN50727_c5_g2_i7_frame=4	O3	CONFLICT O1 and O3	O3
arenatus_DN50727_c5_g2_i8_frame=6	O3	O3	O3
